Emprestimo_pessoal,Emprestimo_consignado,Emprestimo_limite_especial,Emprestimo_educacao,Emprestimo_viagem,InvestimentoCDB,InvestimentoFundos,InvestimentoFundos_cambiais,InvestimentoFundos_commodities,InvestimentoLCI,InvestimentoLCA,InvestimentoPoupanca,InvestimentoFundosMultimercado,InvestimentoTesouroDireto,Idade,Renda,Regiao,Genero,seguroauto,segurovidaEmp,segurovidaPF,SeguroResidencial,AGE_RANGE,INCOME_RANGE,tipo_financiamiento
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.9005821980857411,-2.756839064864856,2,1.0,1,1,1,1,4,0,0
1,1,1,0,0,0,1,0,0,0,0,0,0,0,1.6789997141211113,-2.7414038908837934,0,0.0,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44430352354281555,-2.7355402777575826,0,0.0,0,0,0,0,5,0,3
0,0,0,0,0,0,0,1,1,1,1,1,1,1,2.343008824568602,-2.725411063921273,2,0.0,0,0,0,0,0,0,3
1,1,1,1,1,1,1,0,0,1,0,1,1,0,2.001985397993925,-2.7224106622306077,4,1.0,0,0,0,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.14238887757696764,-2.720303267478359,0,0.0,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0080311587903652,-2.7052745831420935,4,0.0,0,0,0,0,3,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5282256034374034,-2.658878871308966,4,1.0,0,0,0,0,8,0,3
1,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.9107289692859443,-2.6450747370276546,4,0.0,0,0,0,1,3,0,3
0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.5857955479382814,-2.644489137883117,0,0.0,1,1,1,1,1,0,3
0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.5525993266278086,-2.642976234236385,3,0.0,0,0,0,0,2,0,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.2243147027366594,-2.6384794425408074,4,1.0,1,1,1,1,3,0,3
0,0,0,0,1,1,0,0,0,0,0,0,1,0,2.2514651632506912,-2.6305135157829076,0,0.0,0,0,0,0,1,0,1
1,0,0,0,0,1,1,1,1,1,1,1,1,0,-1.0088780011707346,-2.629092072306254,0,0.0,1,1,0,0,3,0,3
0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.7194426129247687,-2.6264168623314275,4,0.0,1,0,0,0,3,0,3
0,0,0,0,0,1,1,1,1,1,1,1,0,1,0.8352906505592756,-2.617759903177371,3,0.0,1,1,1,1,0,0,3
0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.7746413987606133,-2.613573059835952,3,0.0,0,0,0,1,7,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.637927858673205,-2.5978419105822703,4,1.0,1,1,1,1,0,0,3
0,0,0,0,0,0,0,1,0,0,1,0,0,1,-0.4184594935773272,-2.5958666249645796,4,1.0,0,0,0,0,3,0,1
0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1.2502280795759568,-2.5551604978784828,4,1.0,0,0,0,0,3,0,3
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6286611097491906,-2.550814869519565,4,1.0,1,1,1,1,5,0,3
0,0,0,1,0,1,1,1,1,1,1,1,1,1,2.0294230911178865,-2.5338998191754087,1,1.0,0,1,0,0,6,0,3
0,0,0,0,0,1,1,0,0,0,0,0,0,1,-1.6158946194193782,-2.523489873428161,2,0.0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,1,0,0,0,1,0,0,-0.21013626800650353,-2.5226171909719857,4,1.0,0,0,0,0,7,0,2
0,0,0,0,1,1,0,0,0,0,0,0,0,1,1.3866697244176631,-2.5194872207070413,4,1.0,0,0,0,1,5,0,3
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.925515531046586,-2.51564462328356,0,0.0,0,1,0,0,3,0,3
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.4192369890838866,-2.50981403744099,4,1.0,0,1,0,0,4,0,1
0,0,0,0,0,1,1,1,0,0,0,0,1,0,-0.7299281210771196,-2.49766253762181,3,1.0,0,0,0,0,2,0,3
0,0,0,0,0,1,1,1,1,1,1,1,1,1,1.3675310866213186,-2.4961801206984378,4,0.0,1,1,1,1,2,0,1
1,1,1,0,0,0,0,0,1,0,0,1,0,0,-1.3273754204275912,-2.494810758707524,2,1.0,1,1,1,1,3,0,0
0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.38299213520408504,-2.4836094284330597,2,0.0,0,1,0,0,4,0,3
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.3981867807906838,-2.472869209849413,4,1.0,0,0,0,1,8,0,3
0,0,0,1,0,0,0,1,1,0,1,0,0,0,-1.081791130120523,-2.472305205467257,4,0.0,1,0,0,0,3,0,0
1,0,0,0,0,1,0,1,1,0,0,0,0,0,-1.5019943192597207,-2.4671669223009824,2,1.0,0,0,0,1,6,0,3
0,0,0,0,0,0,0,1,0,0,1,0,0,1,1.3445816581133136,-2.463488191015561,4,0.0,0,1,0,0,0,0,3
0,0,0,1,1,1,1,1,1,1,0,0,0,1,-0.12316555554258644,-2.462153126588427,4,1.0,0,0,0,0,3,0,3
0,1,0,0,1,0,0,0,0,0,0,1,1,1,-1.0894973957818825,-2.448232126534237,4,1.0,0,0,0,0,7,0,3
